NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
620 / TBAI-97493224L-070221-KUoZ3rih00gKD-108 / 107.52690005302429 / 28.119700074195862
630 / TBAI-68103454V-190221-GBvRUQ1G6FPce-194 / 102.99360001087189 / 28.290599942207336
640 / TBAI-35668066B-060121-Ktcsm8uEx/Vo+-027 / 106.49240005016327 / 29.085000038146973
650 / TBAI-67936421X-110221-xcvtYntIw6xZ+-164 / 107.68819999694824 / 28.668799996376038
660 / TBAI-06581277B-090221-A9eV3MIG2hH+a-129 / 105.48549997806549 / 28.318300008773804
670 / TBAI-79153363J-270121-Xj9GkpN7JLKDY-066 / 106.4404000043869 / 29.848999977111816
680 / TBAI-16520777S-250121-F7g3CeSsrqjaL-126 / 111.60539996623993 / 29.391799926757812
690 / TBAI-45365244K-210221-T1pt3D6j6kKZU-247 / 111.49699997901917 / 29.673400044441223
700 / TBAI-32061893P-110121-xFu1ijvgaaXrL-253 / 115.21709990501404 / 30.16859996318817
710 / TBAI-78875672R-250121-THwKcNKjsHIYn-233 / 114.80840003490448 / 29.587000012397766
720 / TBAI-35700776S-090221-fIlWnHZHvUOoK-213 / 115.0728999376297 / 30.209100008010864
730 / TBAI-31224364R-240121-OoZKYX1bygrEU-033 / 114.71570003032684 / 30.942099928855896
740 / TBAI-95071426Y-260221-fShkK2Q52LjAl-095 / 113.58109998703003 / 31.00729990005493
750 / TBAI-77150749D-110221-hg8H5z+LVxk71-240 / 118.64930009841919 / 30.909000039100647
760 / TBAI-81689865Y-120221-J0VRDxBP3wvIi-127 / 125.3425999879837 / 40.38479995727539
770 / TBAI-98168387V-290121-RtY2jHxlpPH4d-212 / 116.96399998664856 / 32.73069989681244
780 / TBAI-01343543K-220121-jP8ViZzZIJxnr-021 / 120.2795000076294 / 33.43690001964569
790 / TBAI-32912251X-210121-OOECNgzwtFjdL-189 / 129.09039998054504 / 117.29739999771118
800 / TBAI-26730541X-070221-MFBoZC8J3zLtP-127 / 122.2208000421524 / 32.38059997558594
810 / TBAI-61753673F-200121-fDp5tnbzrR/Q/-141 / 125.57679998874664 / 32.17289996147156
820 / TBAI-29286261Q-050221-K12UVg6I8Ik2B-128 / 125.30460000038147 / 40.25800001621246
830 / TBAI-88113165G-170221-JKYyRfYcQf1cJ-046 / 121.85989999771118 / 32.96679997444153
840 / TBAI-21850358J-220221-uumyvoAC9RdlW-127 / 129.52040004730225 / 33.54549992084503
850 / TBAI-34860591C-060221-NEsdQ0d7EL2dM-122 / 128.31490004062653 / 40.811100006103516
860 / TBAI-94681110T-080121-vGsAu8UYiUIBk-180 / 127.77820003032684 / 35.004600048065186
870 / TBAI-26662827P-020121-hBFdGVY5etACR-207 / 130.38010001182556 / 34.05330002307892
880 / TBAI-24564783R-190121-U+Ewxqcr0q8QF-216 / 132.97990000247955 / 33.38660001754761
890 / TBAI-41863560H-120221-c1f2GTlYKd2nQ-103 / 140.61500000953674 / 34.51959991455078
900 / TBAI-89318957K-110121-yOZrM17h232T7-246 / 135.06519997119904 / 35.20740008354187
910 / TBAI-62447572L-280121-o70Hbbh30QAOy-244 / 138.95240008831024 / 35.332200050354004
920 / TBAI-38863700W-160121-WmgguyfdS8SVs-211 / 137.84650003910065 / 35.36650002002716
930 / TBAI-93591863X-200221-H78a7+JvB7NAj-170 / 135.308699965477 / 35.68059992790222
940 / TBAI-93476798Z-070121-CRZVmsOnxeU5u-084 / 140.26719999313354 / 36.313000082969666
950 / TBAI-70964828F-090121-pCY7p310bL8vx-172 / 142.98370003700256 / 36.43060004711151
960 / TBAI-49763230Q-130121-yFppW7hisFW5m-107 / 142.16889989376068 / 35.68630003929138
970 / TBAI-40578600E-140121-daDF1sZWGoEso-079 / 140.81529998779297 / 35.99650001525879
980 / TBAI-38485236A-010221-xJwpbN7WLHxWS-064 / 140.34039998054504 / 37.97260010242462
990 / TBAI-21265817V-140121-MWTVpMiJmDjA9-113 / 145.95120000839233 / 37.7092000246048
1000 / TBAI-99379606X-150121-hSZlit6JZIYiz-072 / 146.6085000038147 / 38.709100008010864
