NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
1600 / TBAI-03106978T-080221-Wv9tieQJPDLc6-193 / 230.52240002155304 / 61.296400010585785
1610 / TBAI-52138525D-160221-mWtxcwwyHGHLX-104 / 231.09049999713898 / 68.0871000289917
1620 / TBAI-68859791E-220121-ozuzGTK3NkoEh-128 / 234.49680000543594 / 68.81180000305176
1630 / TBAI-34067566N-190121-BeiHgmS/cX7hJ-145 / 236.6119999885559 / 61.855000019073486
1640 / TBAI-76733390P-220121-iIvpcu/9EvItL-040 / 232.94249999523163 / 69.41769999265671
1650 / TBAI-33473526Q-040221-tGMztayqZcIX8-198 / 239.58700001239777 / 69.02179998159409
1660 / TBAI-52457960C-220121-G4+XbmWvdUuD2-245 / 240.60459995269775 / 70.22490000724792
1670 / TBAI-50732982L-250121-Cn18aTPdPwaqh-027 / 243.43509995937347 / 69.10109996795654
1680 / TBAI-29413206R-110221-tryqasxLdANVk-225 / 245.37819999456406 / 70.51389998197556
1690 / TBAI-30570270G-140221-ZXTubVMafTt07-064 / 237.89199995994568 / 67.51839995384216
1700 / TBAI-63171856X-090221-S1rIUg35VCPq2-093 / 244.32430005073547 / 67.49349999427795
1710 / TBAI-61767355G-220221-CRXNifT+vRLgt-009 / 250.75510001182556 / 74.1884999871254
1720 / TBAI-95357796A-170121-Ue9UmIQa86mfh-066 / 241.16899996995926 / 70.95520001649857
1730 / TBAI-93395362K-020221-r8bSgKYSq8Z8j-058 / 251.36939996480942 / 74.51639997959137
1740 / TBAI-03019688H-270121-rIBr03xckR1u1-216 / 248.2969999909401 / 65.04510003328323
1750 / TBAI-89109526M-040221-CKqin0qLDfB+f-159 / 247.8720999956131 / 64.30009996891022
1760 / TBAI-85308161B-250121-BDD4N5Wb9/j4t-229 / 253.3212000131607 / 72.1777999997139
1770 / TBAI-90351024D-030221-EZKErA7AU/+0r-192 / 250.19599997997284 / 75.92419999837875
1780 / TBAI-41396568H-110221-M2xWwMoz5W+2V-001 / 253.77780002355576 / 78.33230000734329
1790 / TBAI-63324567R-080121-dMoHnaJsFfL9D-171 / 259.98470002412796 / 77.7591000199318
1800 / TBAI-19744052R-010121-AVQBY6cfmYbAD-203 / 258.30649995803833 / 71.61189997196198
1810 / TBAI-91771477M-270121-kwzAWja9PotI9-158 / 260.6990000009537 / 75.68119996786118
1820 / TBAI-93996895N-300121-sYi0LdVY53RPZ-057 / 256.9230999946594 / 75.66110002994537
1830 / TBAI-39179388S-220121-tlG8cDc7TNp02-090 / 259.3763999938965 / 80.01899999380112
1840 / TBAI-19028999H-170121-xJcQjo7VvQBik-232 / 264.57929998636246 / 76.64620000123978
1850 / TBAI-43800841D-080221-S8vZxXqhvy8XC-204 / 260.80930000543594 / 87.53810000419617
1860 / TBAI-11467573A-070221-Z6qr12cEI7hSC-089 / 265.73530000448227 / 78.6059000492096
1870 / TBAI-44358338D-040221-krRFXCQro3mFU-071 / 264.460000038147 / 114.59899997711182
1880 / TBAI-36142215S-260121-gA+eVtUGvb3go-242 / 272.7121000289917 / 80.85609996318817
1890 / TBAI-99056418H-130221-AdPPD9MY9I9TV-048 / 270.76130002737045 / 79.09389996528625
1900 / TBAI-17012264S-130121-TiY7ZCnQPKQ8w-088 / 268.45620000362396 / 83.4860999584198
1910 / TBAI-94842551G-190221-NeNSg7dVGyfc3-146 / 274.7119999527931 / 82.29949998855591
1920 / TBAI-30350372D-080121-U0CUbWYkZlvSJ-036 / 275.2431000471115 / 78.90790003538132
1930 / TBAI-18813272P-230121-ipJ3Myc+R1hd4-082 / 272.1419999599457 / 99.99239999055862
1940 / TBAI-45851570N-030221-aVQ7TIBmsfSKo-068 / 274.68960005044937 / 78.47450000047684
1950 / TBAI-50596945G-170221-HLFC9ua2R1SoR-164 / 272.3410999774933 / 77.49860000610352
1960 / TBAI-33574772Q-180221-ZYYR98H0nAxDc-036 / 275.21220004558563 / 88.01420003175735
1970 / TBAI-22774445Y-210221-ACHysPjyCCG3S-071 / 277.80889999866486 / 80.9210000038147
1980 / TBAI-55501761R-160221-WjJSLgiiUWcir-214 / 278.67949998378754 / 74.94010001420975
1990 / TBAI-15316640C-040221-oMuUMzCroA5pD-187 / 276.8647999763489 / 80.76130002737045
2000 / TBAI-47546037T-020221-Df0Nhxy35J6IN-146 / 282.85999995470047 / 75.13299995660782
2010 / TBAI-99479169Y-140121-FJST6JQgWs/oz-216 / 286.3518999814987 / 101.43479996919632
2020 / TBAI-37571257K-230121-bIYFKTnGykCgz-128 / 278.7620000243187 / 76.13719999790192
2030 / TBAI-95739157R-180121-tKMkuMTipQyCG-048 / 284.55659997463226 / 91.26109999418259
2040 / TBAI-45453802Y-120121-ji2ufl2esmuwM-011 / 287.7583999633789 / 103.83799999952316
2050 / TBAI-09593884D-080121-Bqf8uwVJRX/w/-250 / 292.6234000325203 / 83.95550000667572
2060 / TBAI-22629567M-180221-rsMe7lt3uvUia-000 / 291.3051999807358 / 86.20279997587204
2070 / TBAI-86776699E-070221-jdIkp3Q7c9dvf-083 / 291.22269999980927 / 83.08649998903275
2080 / TBAI-66517210Z-090121-CAoPD+5GtUenq-104 / 287.4984000325203 / 87.65780001878738
2090 / TBAI-77229250B-100221-vcR7Xsiwt6Ruh-035 / 291.50749999284744 / 77.82300001382828
2100 / TBAI-26152578Z-300121-pSwy69hn/MkYo-020 / 298.21159994602203 / 86.37589997053146
2110 / TBAI-80858348P-060121-jAEmaojN2j4aF-193 / 297.87689995765686 / 79.6690000295639
2120 / TBAI-24798348R-140121-SN5+ntcVMsFX8-070 / 295.3094000220299 / 88.4563000202179
2130 / TBAI-99723598Z-310121-ZwpyumGTpvQT0-075 / 300.78210002183914 / 87.57989996671677
2140 / TBAI-21937716V-190221-hQdhbVpDJbQiu-025 / 297.86129999160767 / 89.24989998340607
2150 / TBAI-66837694Q-190121-V9/9QFazzxrdU-151 / 297.6347000002861 / 128.46549999713898
2160 / TBAI-04699661W-100221-TClyleme/UODJ-125 / 302.1036999821663 / 88.64340001344681
2170 / TBAI-29376997V-280121-QX1eVvvok85bA-092 / 313.275200009346 / 89.07730001211166
2180 / TBAI-97778750T-130121-jGLU2DkJIwZvC-026 / 309.5169999599457 / 89.47200000286102
2190 / TBAI-45844942P-290121-FrJJXbGEEsutF-216 / 306.1110000014305 / 88.58459997177124
2200 / TBAI-18192917D-160121-I53ve3STMy+ny-058 / 307.4045999646187 / 90.55739998817444
2210 / TBAI-66805657H-310121-fQJh85qJLMuuL-014 / 313.0189999938011 / 90.11469995975494
2220 / TBAI-25133751H-050221-e0gstipx/yN9/-008 / 306.2301999926567 / 90.9113000035286
2230 / TBAI-88822602Y-180121-IGO1Bg25NqGY+-201 / 305.5917999744415 / 92.59060001373291
2240 / TBAI-78615849D-240121-NKp+8Ah566p/q-084 / 313.30680000782013 / 92.54680001735687
2250 / TBAI-19999518Y-210121-o3TdruOZWDeFo-183 / 311.55210000276566 / 92.08140003681183
2260 / TBAI-55162522N-230221-mnMYvOd1cIwWj-237 / 312.13109999895096 / 100.05110001564026
2270 / TBAI-56631821W-070221-H0qx/c+ojaPoN-173 / 315.91490000486374 / 88.29860001802444
2280 / TBAI-94930693X-160121-GYCl9N5IlwuGH-031 / 318.0706999897957 / 101.24300003051758
2290 / TBAI-86756724B-140221-eML+eBNdXiJ6g-188 / 314.44019997119904 / 101.9079999923706
2300 / TBAI-44331692C-180221-GXOalwNSXuSMX-096 / 319.54299998283386 / 93.56459999084473
2310 / TBAI-04465394J-090221-mDA+nTDmKDvUj-029 / 320.10000002384186 / 93.84119999408722
2320 / TBAI-46129796F-050121-r7cQ1ERKuLbix-219 / 315.150200009346 / 84.59990000724792
2330 / TBAI-70466420D-220121-QaapBbQ6U6ACY-003 / 319.6812999844551 / 91.48379999399185
2340 / TBAI-82991091F-270121-IdNKvoucJ98Uf-238 / 322.1929000020027 / 105.7979000210762
2350 / TBAI-22622233P-300121-ar1Z8q09Z4GJ4-020 / 326.0409999489784 / 98.16539996862411
2360 / TBAI-81314785X-170221-BH44kcqrqnRZX-207 / 328.17669999599457 / 93.38690000772476
2370 / TBAI-23766243K-150221-jVYxtYgwz1EzA-182 / 326.9879999756813 / 94.52250003814697
2380 / TBAI-09688681T-120121-QfszBG/CSRhyN-006 / 335.77060002088547 / 96.4507999420166
2390 / TBAI-83319613C-140221-Q4wYQJmMmxHc0-241 / 330.47699999809265 / 96.0083999633789
2400 / TBAI-40628260W-150121-AZ570iOnuiJwj-120 / 330.57770001888275 / 96.90049999952316
2410 / TBAI-43941666M-100121-m+PPo9cHZMwjX-188 / 337.01360005140305 / 95.08500003814697
2420 / TBAI-62128888T-150221-l3oG9t8snbgri-074 / 338.0374000072479 / 116.15789997577667
2430 / TBAI-60006728G-060121-jlvyOxc8ozbue-067 / 332.38499999046326 / 142.64709997177124
2440 / TBAI-51991397N-080221-cWDj8MMXq7zI7-058 / 342.29009997844696 / 102.20730000734329
2450 / TBAI-49988098J-150221-EqkeI550d/JsV-156 / 339.9884999990463 / 100.35119998455048
2460 / TBAI-05560503T-090221-QiiU6rgxhx/1V-013 / 335.8012999892235 / 108.54199999570847
2470 / TBAI-26977433C-020221-S5ZhXhTUiTXjq-100 / 339.92189997434616 / 101.1845999956131
2480 / TBAI-64355599N-060221-QxhW0qUymvJbH-228 / 345.47219997644424 / 116.64509999752045
2490 / TBAI-76426317P-180221-j9lpZyB2qRpMW-040 / 341.89129996299744 / 99.18050003051758
2500 / TBAI-41641699S-270121-J/Y9kW4DqFakQ-006 / 343.12629997730255 / 111.98019999265671
2510 / TBAI-84717395T-220121-NwWTdJG1eqdwG-173 / 345.31379997730255 / 105.88659995794296
2520 / TBAI-72662866R-010221-CEoYM7hJ+HgV9-217 / 351.04689997434616 / 117.83009999990463
2530 / TBAI-39729471F-240221-LDRGP3A5F/wUF-017 / 348.8857999444008 / 110.64700001478195
2540 / TBAI-45003574A-130121-aF9Qt+67pYVYy-091 / 344.11129999160767 / 113.51560002565384
2550 / TBAI-01817654X-110221-s8GINVtJvCZYP-064 / 353.962199985981 / 121.21230000257492
2560 / TBAI-97411594Q-150121-zPWv+bUlpT2NN-193 / 351.0400000214577 / 110.57639998197556
2570 / TBAI-08801679Q-240221-l426YHb8M6zoy-153 / 353.653500020504 / 100.0236000418663
2580 / TBAI-67602587K-150221-DHC7GZfgWFkuq-236 / 353.21499997377396 / 117.35250002145767
2590 / TBAI-40323362S-020121-e3T1H1YZS/Jqq-142 / 359.1579999923706 / 107.97799998521805
2600 / TBAI-27471634C-090221-QJdqGa6mwZ1XB-011 / 362.3313000202179 / 133.14000004529953
2610 / TBAI-61275212S-060121-AUJfmY9Jx6yki-012 / 357.2591000199318 / 106.71579998731613
2620 / TBAI-42369676L-040221-FkhdaQX8VHI7q-183 / 360.250500023365 / 121.53949999809265
2630 / TBAI-03555745Z-200121-Pqbgg57cnA1TP-152 / 359.69749999046326 / 105.78090000152588
2640 / TBAI-99144624L-200121-XW6mBTHpbhXly-191 / 356.62569999694824 / 119.66619998216629
2650 / TBAI-05975226X-310121-O8/I1Y/mjdkFA-063 / 366.1161000132561 / 105.13719999790192
2660 / TBAI-42988912A-230121-f8vwfLldAHIU6-019 / 360.83109998703003 / 116.62470000982285
2670 / TBAI-97141743R-130221-P+J5/ZaBC77Am-009 / 366.2688999772072 / 117.7082000374794
2680 / TBAI-01923723A-120121-u/1YPQyrQaNUj-135 / 364.93430000543594 / 116.17030000686646
