NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
3590 / TBAI-74642433G-090121-A0oNdo0ZjikWr-138 / 490.0983999967575 / 133.6147000193596
3600 / TBAI-83179536J-240121-ND4w0jqBzZYe9-028 / 485.4264000058174 / 148.34750002622604
3610 / TBAI-21794923P-190221-cgJtPW9Z5ThBO-037 / 479.2756000161171 / 143.61510002613068
3620 / TBAI-63947750E-090121-dbc/Xkzdaoc/X-122 / 477.925400018692 / 153.5648000240326
3630 / TBAI-26909327V-160121-xCCvmKRgcL2gn-224 / 493.1875999569893 / 154.15420001745224
3640 / TBAI-77464641C-180121-H94AMn7IY526K-069 / 482.7983999848366 / 144.5809000134468
3650 / TBAI-62352285K-190221-Yng1CJScwG7mL-153 / 487.5837000012398 / 148.15909999608994
3660 / TBAI-31347475Q-150121-dT/vg57pTPc4e-234 / 491.49390000104904 / 155.67219996452332
3670 / TBAI-61689764S-030221-JHi2yYS8m9qop-117 / 488.4118999838829 / 152.2499000430107
3680 / TBAI-32707992Z-100221-O5HkUAk+mbXwz-151 / 496.57630002498627 / 151.1444999575615
3690 / TBAI-15201242J-230121-ElABvjMMIRyPs-100 / 492.1801999807358 / 152.4206999540329
3700 / TBAI-97282929J-160121-KkfuwD0eaeuyF-012 / 497.18549996614456 / 153.253300011158
3710 / TBAI-21772184Q-180221-UhLB6Xk72Jzvi-194 / 498.61849999427795 / 156.62970000505447
3720 / TBAI-86736056C-150221-wNr69T0GmUEoy-176 / 496.73129999637604 / 154.44880002737045
3730 / TBAI-56827024G-180221-HjXxcC9+LCRev-202 / 500.38249999284744 / 150.56980001926422
3740 / TBAI-66441148J-170221-Q88Luzf/X6ose-013 / 501.6807000041008 / 155.15479999780655
3750 / TBAI-93033696F-180221-BeBOJl5EuXqSX-201 / 587.8549000024796 / 150.22159999608994
3760 / TBAI-24716209H-310121-y9KhOp9kbv+eW-134 / 504.23129999637604 / 138.24949997663498
3770 / TBAI-44568661C-070221-poMANte4HJ4mc-237 / 505.9613000154495 / 146.60259997844696
3780 / TBAI-31681287Y-110121-PxYTof5UMsRlQ-007 / 504.0067999958992 / 152.98170000314713
3790 / TBAI-03659635J-110121-xZ2AZXkL7BpZc-006 / 508.0310000181198 / 149.5417999625206
3800 / TBAI-19679297Z-240121-ExElCZo/Tt/Br-082 / 503.8090999722481 / 184.8957999944687
3810 / TBAI-91526658K-180221-m4TLrW6JWWH0A-225 / 505.44069999456406 / 150.6850000023842
3820 / TBAI-08573510F-210221-nAuJ92g1aRNXm-162 / 513.4513999819756 / 151.74330002069473
3830 / TBAI-04120801Y-100221-q+1s9ipcqFAn+-156 / 557.0892999768257 / 151.69260001182556
3840 / TBAI-45660515H-060221-hv+yGq0mEv8LG-181 / 516.0576000213623 / 152.13419997692108
3850 / TBAI-88569948F-010121-hW/WLn+wfgrD+-000 / 511.2921000123024 / 152.95310002565384
3860 / TBAI-36977609A-220121-d/cqpqj7uI943-078 / 515.4259999990463 / 149.53839999437332
3870 / TBAI-55747680G-210221-JJJpziAII2D9n-153 / 512.2500999569893 / 164.63050001859665
3880 / TBAI-81580003S-240221-gihaxPIXGxSKU-049 / 522.3560000061989 / 153.5832999944687
3890 / TBAI-86825571L-020221-qBYcCBRs3XbgD-197 / 521.8522999882698 / 158.3579000234604
3900 / TBAI-09049938J-100221-ZWgcaTd81lBGH-024 / 514.7893000245094 / 155.64219999313354
3910 / TBAI-90433066X-040221-aESlEaYddc3UJ-224 / 518.0015999674797 / 154.65929996967316
3920 / TBAI-30929515N-270121-wN0UAz/DTaL7r-124 / 524.0417000055313 / 156.16449999809265
3930 / TBAI-35561932E-080121-ur7ZYS/IWbO2A-247 / 521.9908999800682 / 177.6098000407219
3940 / TBAI-06266602E-090221-i4ZjWcMhRfqf8-025 / 523.475300014019 / 159.2719999551773
3950 / TBAI-03321796K-190221-FwzL9UHdxBE0K-209 / 524.1909999847412 / 159.7175999879837
3960 / TBAI-12800754N-280121-yZhtCHvMioJkr-159 / 528.3166000247002 / 159.55400002002716
3970 / TBAI-44072168M-030221-FgEBpYdQ8qY3v-050 / 529.0213000178337 / 162.41530001163483
3980 / TBAI-81892515A-080221-YslWd7ixUtAEh-233 / 528.0098999738693 / 161.66799998283386
3990 / TBAI-56881658J-040221-r7C3d43+eunZ4-051 / 541.8382999897003 / 195.13060003519058
4000 / TBAI-85013797R-020221-NNDsVKt3EaBDU-080 / 535.7268000245094 / 159.2630000114441
4010 / TBAI-50654230L-230121-HL8E9y6YRVJ5s-003 / 532.9362000226974 / 156.96539998054504
4020 / TBAI-11328148G-290121-bE20ebAtWLF0m-133 / 537.960000038147 / 166.04939997196198
4030 / TBAI-01749569M-070221-Rg6Y9Z8GvpDo7-038 / 538.4448999762535 / 164.14840000867844
4040 / TBAI-94172006R-220221-o9TOelnyQPOfj-231 / 539.777899980545 / 150.54820001125336
4050 / TBAI-28567051Q-210221-nxs7THrcuaO78-229 / 540.9139999747276 / 170.09409999847412
4060 / TBAI-77772353S-090221-UBYVaQdJ2llEv-208 / 541.7059000134468 / 166.39550000429153
4070 / TBAI-04908470V-240121-f4f0j0YmmHETI-019 / 543.3238999843597 / 169.441300034523
4080 / TBAI-56846934L-050221-OnNt8kuHE+61h-047 / 542.0051999688148 / 168.63679999113083
4090 / TBAI-78219233M-040221-StPjJhEPqExcQ-216 / 538.4345999956131 / 177.6525000333786
4100 / TBAI-04055754A-300121-n2Au3b6aszMv5-180 / 548.9549999833107 / 160.9504000544548
4110 / TBAI-80733734P-120221-X8ckJibWe6QMJ-220 / 548.3236999511719 / 170.60890001058578
4120 / TBAI-22806652J-110121-xlns2TcL+R00Z-170 / 550.4277999997139 / 168.12819999456406
4130 / TBAI-15862829M-060221-ryZ1yWzILH2o9-225 / 551.581200003624 / 144.26209998130798
4140 / TBAI-80574781P-190121-TZllePCmokeiG-198 / 544.1868000030518 / 155.14880001544952
4150 / TBAI-90438023E-050221-GOKEc3Ui3ifa1-185 / 553.9853000044823 / 165.86289995908737
4160 / TBAI-51048738P-090221-P1R1lteisETTX-043 / 558.2360000014305 / 159.63060003519058
4170 / TBAI-47131333D-130221-HXaIr3MYh8eyR-026 / 557.3462999463081 / 149.10439997911453
4180 / TBAI-30724202C-170121-gQ3R1XTOtaraT-176 / 555.0518000125885 / 165.11840003728867
4190 / TBAI-95127821M-300121-eUmpa8+W2WpIn-035 / 572.327399969101 / 150.28690004348755
4200 / TBAI-97169254G-140221-BU1DdpFZN50TU-120 / 554.9254999756813 / 813.9161999821663
4210 / TBAI-21215504M-010121-CZ1Ls7cghKgK7-207 / 561.4086000323296 / 150.57139998674393
4220 / TBAI-30047878B-100121-iIGvLh0H7cWtD-022 / 562.6358000040054 / 162.71200001239777
4230 / TBAI-58134868E-170121-Y1j49Lgbnpd9z-170 / 562.231900036335 / 163.587700009346
4240 / TBAI-49335042L-200221-V11l7nZuzk9kX-026 / 554.0454999804497 / 171.88129997253418
4250 / TBAI-97549945E-250121-V2zZMsW4d2qKv-029 / 560.4302999973297 / 174.8482000231743
4260 / TBAI-94060476K-090221-j+YNU5eE79w0v-110 / 562.8184000253677 / 180.469300031662
4270 / TBAI-08163537D-110221-DPbzydyBh4BUV-239 / 563.7670999765396 / 168.35649996995926
4280 / TBAI-19766447V-060221-JUcJ5+4qpEMgc-063 / 575.7791999578476 / 171.6744999885559
4290 / TBAI-56307844A-100221-xz6d5hgXriBPD-122 / 556.3133000135422 / 173.80309998989105
4300 / TBAI-45844942P-110221-OUnNM7iwWs8fn-003 / 574.6026999950409 / 234.82349997758865
4310 / TBAI-22801218F-010221-RtIVCISE50va7-246 / 579.2825999855995 / 168.5430999994278
4320 / TBAI-45993352E-130121-oWlWPXFUQPlN+-198 / 575.2641999721527 / 171.65770000219345
4330 / TBAI-61056042N-230121-dnfQ9JeS7J3Fd-254 / 574.7763000130653 / 166.4452000260353
4340 / TBAI-40695346C-210121-BacGakChBNKQ9-036 / 569.6701000332832 / 166.40390002727509
4350 / TBAI-39813261P-080221-QOKiRhjZ04m3l-156 / 577.6678000092506 / 302.5473000407219
4360 / TBAI-92084026F-170121-FccdNUf9qrwcE-220 / 579.7976999878883 / 175.9190999865532
4370 / TBAI-39001862A-230121-xTjuH/IVA+c6g-189 / 573.6875 / 190.73240000009537
4380 / TBAI-65593653E-070221-mzS3eGmA8DdHI-244 / 589.3777000308037 / 174.58490002155304
4390 / TBAI-42385494J-180221-Nm1pI37vDkG0q-215 / 582.077399969101 / 177.4805999994278
4400 / TBAI-27504202C-260121-vx3RtcviFzDci-188 / 586.3248000144958 / 184.61250001192093
4410 / TBAI-39812309E-130221-c8KQc9nyHWP2w-166 / 588.3736999630928 / 171.32289999723434
4420 / TBAI-13083041C-240221-OmCOk8WZ5QNEY-094 / 580.4356000423431 / 195.80129998922348
4430 / TBAI-65638998B-290121-g+Vyr7CKBNJ/2-151 / 590.5731999874115 / 174.20700001716614
4440 / TBAI-38520848B-230121-NU6atloUdObn0-125 / 591.6536999940872 / 181.02999997138977
4450 / TBAI-68134985S-050221-jaSNn08NO46j2-081 / 592.6261000037193 / 305.51130002737045
4460 / TBAI-46470928A-050221-Wd2mNthLUu8Ml-045 / 591.5325999855995 / 178.93680000305176
4470 / TBAI-20798243X-250121-nlkUzmY1Fi+xo-209 / 588.7985000014305 / 178.19599997997284
4480 / TBAI-39649113B-080121-sciMzXrWasTdU-088 / 595.7809000015259 / 171.72749996185303
4490 / TBAI-33626262D-050221-Cu/w+9jTre2T8-019 / 596.5415000319481 / 164.49720001220703
4500 / TBAI-17056414M-300121-asFZFE7Bi/2vm-034 / 602.2979000210762 / 332.17129999399185
4510 / TBAI-90847079T-100121-hbTPvi1sJKvP0-213 / 599.5755000114441 / 169.18449997901917
4520 / TBAI-25990041H-180121-yxQsd17CEa9Yj-109 / 595.6421999931335 / 170.60280001163483
4530 / TBAI-24854358Y-040221-m7LvQrA+CPsjh-035 / 598.9546999931335 / 170.70679998397827
4540 / TBAI-36034965Z-060221-fZBKcETYdDToL-100 / 603.5670999884605 / 171.76890003681183
4550 / TBAI-75085904N-160121-POl+Eib3GbWMs-162 / 603.985100030899 / 177.98299998044968
4560 / TBAI-96519330Z-280121-QNzyn2plXRxKx-156 / 602.4379999637604 / 183.86379998922348
4570 / TBAI-57779965D-080221-dHATkqkJTdMzs-231 / 599.3084999918938 / 184.04530000686646
4580 / TBAI-17397201R-250121-ZbPr6qzQFw/NU-143 / 608.9268000125885 / 175.28319996595383
4590 / TBAI-60522132R-140221-p0N+fNgLF1f2f-040 / 601.1355000138283 / 174.3598000407219
4600 / TBAI-27754664N-240121-GcDpisD7EgCmI-245 / 607.1891000270844 / 174.6807000041008
4610 / TBAI-46570157X-190221-WHYp+QpLO57Vw-029 / 605.2710000276566 / 186.19209998846054
4620 / TBAI-66730323D-040121-NOSOZwM1pwmUS-157 / 608.5342000126839 / 173.53949999809265
4630 / TBAI-39242259G-050221-S+BBo3h1SiG/f-132 / 614.8593999743462 / 174.0890000462532
4640 / TBAI-62667658H-160121-EKRNBsfjWWEy6-195 / 616.352999985218 / 174.79780000448227
4650 / TBAI-07774465M-160221-ILokyTMaOMKCj-196 / 612.2836999893188 / 175.54350000619888
4660 / TBAI-22413553F-070121-CUSipTPzmzxDJ-201 / 612.7943999767303 / 480.0882999897003
4670 / TBAI-15718458M-190221-ZEyNZiIv+ZrOR-245 / 618.533999979496 / 181.41149997711182
4680 / TBAI-48780758N-220121-iRap2fQ7eqfiP-128 / 623.3774999976158 / 174.54499995708466
4690 / TBAI-21976551M-030221-IM/Sld7w5B5Bx-230 / 628.5812999606133 / 173.36320000886917
4700 / TBAI-93208277H-230221-E4Yg2IyydMb65-169 / 624.2537000179291 / 346.0871000289917
4710 / TBAI-68320481Q-230121-btf+EVaZss8YN-106 / 627.944000005722 / 178.8932000398636
4720 / TBAI-09301000F-100121-m69HS+gqRrJiU-040 / 620.2313000559807 / 185.30540001392365
4730 / TBAI-76462108B-200121-TChRc63wXFm9y-025 / 627.0332999825478 / 171.11640000343323
4740 / TBAI-10621511L-240121-fIP+yMCmwJyp7-217 / 620.5849999785423 / 172.4573000073433
4750 / TBAI-15254346X-010221-LUxKGBgy4yYBU-222 / 627.7554000020027 / 178.21130001544952
4760 / TBAI-78527212Z-070221-ce7bomjGIzJxY-242 / 635.1739000082016 / 180.50650000572205
4770 / TBAI-60419712T-170121-yViUai77m0xgU-253 / 628.79390001297 / 180.35370004177094
4780 / TBAI-92824619T-290121-s5Mwo4LxX6JWF-013 / 629.0679000020027 / 181.15420001745224
4790 / TBAI-22978073S-090121-vO2sKkWdCRqWl-187 / 629.756600022316 / 176.0592999458313
4800 / TBAI-36253108W-130121-evG1L1cE0TUi5-255 / 641.8583999872208 / 184.84470003843307
4810 / TBAI-18581488H-310121-scLgqcitX+DPB-062 / 628.3482000231743 / 189.23639994859695
4820 / TBAI-01222738N-120121-IELL5rA/UYzrm-105 / 642.2358000278473 / 193.2005000114441
4830 / TBAI-23978370L-080221-KWSiVomudRpF2-064 / 630.0615999698639 / 362.76910001039505
4840 / TBAI-57675923L-060221-NX6ypH1RzicSz-235 / 637.5091999769211 / 185.47389996051788
4850 / TBAI-68920437V-150221-KbqnK/AlJrfdp-057 / 639.2340000271797 / 190.6733000278473
4860 / TBAI-14922426A-090221-b7r0jmsuzFlBe-169 / 641.5733000040054 / 185.79240000247955
4870 / TBAI-51650787D-060121-qRca5icprKeBq-102 / 634.8238999843597 / 182.5281999707222
4880 / TBAI-87686832E-190121-yQkJED0GgBpoX-252 / 643.3938000202179 / 363.64000004529953
4890 / TBAI-80696322V-100121-NRufa0y7XWnrI-190 / 646.8733999729156 / 187.09030002355576
4900 / TBAI-30512863M-080221-p+QLB9jU0vXqU-132 / 640.2604999542236 / 183.3707000017166
4910 / TBAI-01469954R-260121-SyPOOGly3NJCZ-066 / 643.7633000016212 / 187.58509999513626
4920 / TBAI-79066272T-070121-aeSfVZWjS06bW-162 / 799.5302000045776 / 219.7175999879837
4930 / TBAI-05083101D-170221-E9yhBakZaM5jn-109 / 652.0354999899864 / 396.9179000258446
4940 / TBAI-38221021N-140121-fQZbgvHpGV3fK-009 / 661.9136999845505 / 180.4980999827385
4950 / TBAI-65287514J-120221-QbJEiBrso626I-065 / 656.5579000115395 / 187.52830004692078
4960 / TBAI-79216536M-270121-nMQrjeTi3rbNv-193 / 653.0514000058174 / 192.50440001487732
4970 / TBAI-28233302C-220221-jWLIYvIykzooL-044 / 646.4484999775887 / 183.35310000181198
4980 / TBAI-49324887F-090221-Ranau28C5WVMO-040 / 659.0634999871254 / 199.5489000082016
4990 / TBAI-84377285Z-140221-S8MY7UANNueoo-033 / 660.2578999996185 / 194.4205999970436
5000 / TBAI-77046757T-210121-KjZBUGM1pH96+-234 / 720.2110000252724 / 196.3652999997139
5010 / TBAI-34137703E-220221-OH5czt0VTH86G-177 / 660.756500005722 / 385.9013999700546
5020 / TBAI-79210244S-050121-WIUNFZ8QkoRJE-139 / 663.8021000027657 / 190.64649999141693
5030 / TBAI-12950645N-130221-TmrFjKsXVcxT5-179 / 660.9659000039101 / 196.66490000486374
5040 / TBAI-56052026Z-280121-VhcqXadCVebO+-057 / 672.6841000318527 / 200.2664999961853
5050 / TBAI-49820723D-070121-JbYt1jE2l6MBm-213 / 674.0670999884605 / 198.99210000038147
5060 / TBAI-82023876B-110221-QYrOx7VhNiRXz-041 / 667.1923999786377 / 514.9714000225067
5070 / TBAI-58020902K-270121-YsQs7Ch4br4zr-034 / 665.7005000114441 / 194.89370000362396
5080 / TBAI-49348707E-300121-MgfkS70h0AUPq-035 / 672.5023999810219 / 190.20029997825623
5090 / TBAI-12296575Q-190121-vsYV8RbCSHGyE-148 / 665.859600007534 / 195.49210000038147
5100 / TBAI-83691258P-110121-aLD9SQxiWjPcy-017 / 674.5041000247002 / 191.96039998531342
5110 / TBAI-10326169C-260221-uMqENqyDTa8EQ-000 / 670.1413999795914 / 196.91279995441437
5120 / TBAI-08151518L-030221-XE3SQTTSn8WrI-046 / 675.668299973011 / 197.72840005159378
5130 / TBAI-33517081D-200121-QkxIuiz/U+64I-228 / 674.5587999820709 / 202.19250005483627
5140 / TBAI-65184946W-120221-T9XUxLaQBIw/U-011 / 677.6714000105858 / 202.13650000095367
5150 / TBAI-80578846W-020221-fSIceRT8+tU3D-072 / 678.6930000185966 / 197.9801999926567
5160 / TBAI-61245286N-160121-N68gQNLe8meOb-208 / 678.7577000260353 / 196.8652999997139
5170 / TBAI-32340554R-260121-SyNPknX3ezxfc-008 / 673.2746000289917 / 195.35289996862411
5180 / TBAI-56165019P-290121-qMkv43x32ZzmO-171 / 680.5105000138283 / 196.390900015831
5190 / TBAI-79092235L-260121-Lr2zY6OwPXE1q-061 / 692.6392000317574 / 188.18489998579025
5200 / TBAI-51247675H-060121-elNfVvm0DTfNc-047 / 680.5777000188828 / 216.46580004692078
5210 / TBAI-04419252D-300121-jRxUlBmXmA7OE-248 / 684.3975999951363 / 203.16399997472763
5220 / TBAI-22037811Q-230221-Ldvu/YRr2W3/G-195 / 681.6933000087738 / 197.7694999575615
5230 / TBAI-13904821X-120221-fA1+qXOV0v5Vi-213 / 685.4786999821663 / 206.0058000087738
5240 / TBAI-99196056T-080221-QCRLyIsg3zKnU-078 / 693.2243999838829 / 222.94079995155334
5250 / TBAI-98406854C-060121-JTUSWN2ki3HOM-116 / 705.509299993515 / 197.24300003051758
5260 / TBAI-02970797W-300121-ampnzNkI81aYd-188 / 693.243499994278 / 198.48919999599457
5270 / TBAI-49806496L-200121-rgA9uHGSjyBVS-004 / 695.2815999984741 / 210.26180005073547
5280 / TBAI-44503787Y-040221-ot6N+NIruLAIi-084 / 689.081200003624 / 229.2305000424385
5290 / TBAI-55608026Y-080221-SFV5bNnpZT3R6-105 / 693.0347000360489 / 206.3633000254631
5300 / TBAI-58015413Y-240221-pV9UsETY4iB3p-087 / 702.3062999844551 / 205.4054999947548
5310 / TBAI-01987037K-070221-qXPP16SW8REdL-189 / 695.7316000461578 / 204.52579998970032
5320 / TBAI-29611497D-100221-wMZh8qWN+p0F8-124 / 706.890900015831 / 392.5275000333786
5330 / TBAI-16226642G-270121-u3B0OHp0Tfl8X-066 / 711.052199959755 / 203.3188999891281
5340 / TBAI-64101546V-180221-fHCa9BTpIpmSN-170 / 708.8843999505043 / 194.11039996147156
5350 / TBAI-02970350S-310121-zpeDnzp/qtOIe-077 / 704.7853999733925 / 200.62510001659393
5360 / TBAI-48498597S-100121-shpaDpozQtTCi-029 / 710.7633999586105 / 326.73260003328323
5370 / TBAI-25227246H-050221-Ozr56EOq4rqXG-021 / 701.5823000073433 / 200.75800001621246
5380 / TBAI-97658320K-020221-MxgwHUdcpVL7J-162 / 705.6166999936104 / 204.83939999341965
5390 / TBAI-85760522P-080121-ihgpr+GvT9ykn-221 / 712.2273000478745 / 206.21299999952316
5400 / TBAI-41803328T-090121-CXaaHZXyOaRpE-054 / 713.2265999913216 / 381.2239000201225
5410 / TBAI-29757636Y-180121-hyNAMB9Eyt/jn-201 / 713.4327999949455 / 209.65460002422333
5420 / TBAI-27633849Q-080121-WSP+3C+aVMYnK-171 / 711.7948000431061 / 203.39620000123978
5430 / TBAI-83530539J-200121-Nf4TNl8jisrsP-014 / 715.2046999931335 / 188.88200002908707
5440 / TBAI-69636414G-220121-tT/VWDYpdym/S-071 / 713.7935999631882 / 402.9539999961853
5450 / TBAI-40706747J-170221-Bul7exQLayiva-056 / 725.4941999912262 / 204.7024000287056
5460 / TBAI-93096272T-040221-DQblgnwHLf3Ka-250 / 718.2512999773026 / 206.16399997472763
5470 / TBAI-56532774Q-170121-icyVvl3Nnq/iQ-019 / 718.4152999520302 / 203.50400000810623
5480 / TBAI-53772458E-040221-Zo+vnMo3kdRw5-074 / 721.1895999908447 / 606.6429000496864
5490 / TBAI-93858455D-170121-a36/OY3UT5ZbX-078 / 722.462099969387 / 217.14429998397827
5500 / TBAI-29295038F-240121-XdoGOvOQiNclI-235 / 725.0011000037193 / 215.00819998979568
5510 / TBAI-54929678C-240121-kYj+9y9V4BDGU-028 / 716.4589000344276 / 342.51859998703003
5520 / TBAI-88495878C-190221-y5GXrNxxybAAu-006 / 732.104100048542 / 218.57880002260208
5530 / TBAI-53976532V-060121-MvklR2bnz0Up1-246 / 721.3414000272751 / 212.97450000047684
5540 / TBAI-14320922H-060221-OEkFWCG4Hb5fN-065 / 727.5389999747276 / 214.61510002613068
5550 / TBAI-13011512K-260121-OK0Jai72/alJW-119 / 726.7876999974251 / 343.27530002593994
5560 / TBAI-35822250A-210221-MzHHc55vAQOKN-133 / 741.6751999855042 / 214.13350003957748
5570 / TBAI-62077970G-130121-ioLm5svmWoG3+-066 / 729.081200003624 / 218.4437000155449
5580 / TBAI-35869628R-220221-YR6PWjF3q1D0+-088 / 731.3025000095367 / 209.50360000133514
5590 / TBAI-14273931Q-290121-T55bSRD3mcGm1-010 / 730.2026000022888 / 382.21820002794266
5600 / TBAI-20457563Y-130121-stTGwJTX81ao8-178 / 742.6417000293732 / 214.66629999876022
5610 / TBAI-23229967J-080121-vv6+HmXhImLNW-216 / 739.7049999833107 / 210.34710001945496
5620 / TBAI-42409533V-110121-TG6nC4nMWTXae-028 / 730.8992000222206 / 211.328400015831
5630 / TBAI-81588242C-190121-QvlinQ70PocT6-163 / 737.3639999628067 / 366.3909999728203
5640 / TBAI-59497649F-060121-mW3eBH2RDTm5s-147 / 738.1321999430656 / 206.76209998130798
5650 / TBAI-19911875Q-110121-t1VknQcRmALlb-062 / 740.8779000043869 / 216.99190002679825
5660 / TBAI-58308492L-150121-Xdc2hPjLoTdUl-040 / 748.5711000561714 / 213.56749999523163
5670 / TBAI-37326205B-140121-Va79aSZTzM1lM-252 / 741.9923999905586 / 427.4138000011444
5680 / TBAI-88361155P-190121-xUVmu1dgphKI9-219 / 755.8755999803543 / 206.98530000448227
5690 / TBAI-54761057N-210121-K3eUAIHMm4tZP-090 / 760.7885999679565 / 212.9011999964714
5700 / TBAI-75152671X-050221-b5XLkAL5DY3s0-199 / 759.4301999807358 / 213.02740001678467
5710 / TBAI-41510356W-220221-c8z5cfAFRQYaa-166 / 737.9941999912262 / 384.25680005550385
5720 / TBAI-64162690G-150221-WlpMQFoj36qUV-107 / 748.9611000418663 / 211.1148999929428
5730 / TBAI-80634034J-050221-BJ229eW4/jq+n-187 / 809.071799993515 / 214.92699998617172
5740 / TBAI-41643132E-210121-Va79a92wZYxZn-130 / 746.0687000155449 / 215.60549998283386
5750 / TBAI-20475979E-080221-ltxOTHHrzhU1I-067 / 750.5085999965668 / 765.1538999676704
5760 / TBAI-25086812E-150121-J4x+vG6A/z4MB-187 / 762.640299975872 / 206.2296000123024
5770 / TBAI-94556451R-220221-qfg9ZLrduXTf0-217 / 758.8587000370026 / 209.35199999809265
5780 / TBAI-19215694E-120121-iATRbDBiUgoEj-158 / 755.0338000059128 / 220.9815999865532
5790 / TBAI-79093240N-080221-eOsLSC0n8KrVY-002 / 757.5017000436783 / 218.84150004386902
